Reg. Date,Property Name,Street,Block,Floor,Flat,Price$(M),Build Size(feet),Actual Size(feet),Price/sq.ft,Building age(year),Type
2019-07-16,LAI BO GDN,CHEUNG WAH ST,BLK 02,14,F,6.0,577.0,379.0,10398.0,29.0,ASSIGN
2019-07-16,CHI TAT BLDG,UN CHAU ST,,4,A,3.7,,,,39.0,ASP
2019-07-16,丰滙,LAI CHI KOK RD,BLK 02,9,E,11.45,,708.0,,,ASSIGN
2019-07-19,CHARM CTR,CASTLE PEAK RD,,6,04,10.7,Appr 1613,Appr 1196,6633.0,28.0,ASSIGN
2019-07-19,LAI HEUNG BLDG,LAI CHI KOK RD,,14,C,5.29,,,,55.0,ASP
2019-07-19,海柏匯,TUNG CHAU ST,,22,E,5.88,,,,,ASP
2019-07-19,LAI HEUNG BLDG,LAI CHI KOK RD,,14,C,5.29,,,,55.0,ASP
2019-07-19,SIU WAI IND CTR,WING HONG ST,,12,07,6.1,Appr 1130,Appr 904,5398.0,29.0,ASP
2019-07-19,KING FAI COURT,LAI CHI KOK RD,,12,03,3.7,370,,10000.0,37.0,ASP
2019-07-19,海柏匯,TUNG CHAU ST,,22,E,5.88,,,,,ASP
2019-07-19,KING FAI COURT,LAI CHI KOK RD,,12,03,3.7,370,,10000.0,37.0,ASP
2019-07-19,ON FAI BLDG,CHEUNG FAT ST,,7,A,5.67,,,,28.0,PRO-ASP
2019-07-19,ON FAI BLDG,CHEUNG FAT ST,,7,A,5.67,,,,28.0,PRO-ASP
2019-07-19,CHARM CTR,CASTLE PEAK RD,,6,04,10.7,Appr 1613,Appr 1196,6633.0,28.0,ASSIGN
2019-07-19,ON FAI BLDG,CHEUNG FAT ST,,7,A,5.67,,,,28.0,PRO-ASP
2019-07-19,SIU WAI IND CTR,WING HONG ST,,12,07,6.1,Appr 1130,Appr 904,5398.0,29.0,ASP
2019-07-19,SIU WAI IND CTR,WING HONG ST,,12,07,6.1,Appr 1130,Appr 904,5398.0,29.0,ASP
2019-07-19,海柏匯,TUNG CHAU ST,,22,E,5.88,,,,,ASP
2019-07-19,KING FAI COURT,LAI CHI KOK RD,,12,03,3.7,370,,10000.0,37.0,ASP
2019-07-19,CHARM CTR,CASTLE PEAK RD,,6,04,10.7,Appr 1613,Appr 1196,6633.0,28.0,ASSIGN
2019-07-19,LAI HEUNG BLDG,LAI CHI KOK RD,,14,C,5.29,,,,55.0,ASP
2019-07-22,VISTA,FUK WA ST,,45,D,12.0,,,,,ASP
2019-07-22,GARDENIA,SAI YEUNG CHOI ST N,,26,D,5.95,,,,7.0,ASSIGN
2019-07-22,PRINCE'S COURT,CHEUNG SHA WAN RD,,10,,5.0,578,356,8650.0,23.0,ASSIGN
2019-07-22,PRINCE'S COURT,CHEUNG SHA WAN RD,,10,,5.0,578,356,8650.0,23.0,ASSIGN
2019-07-22,GARDENIA,SAI YEUNG CHOI ST N,,26,D,5.95,,,,7.0,ASSIGN
2019-07-22,VISTA,FUK WA ST,,45,D,12.0,,,,,ASP
2019-07-22,MANOR CTR,UN CHAU ST,BLK 07,5,H,5.1,,,,34.0,ASP
2019-07-22,PRINCE'S COURT,CHEUNG SHA WAN RD,,10,,5.0,578,356,8650.0,23.0,ASSIGN
2019-07-22,GARDENIA,SAI YEUNG CHOI ST N,,26,D,5.95,,,,7.0,ASSIGN
2019-07-22,MANOR CTR,UN CHAU ST,BLK 07,5,H,5.1,,,,34.0,ASP
2019-07-22,MANOR CTR,UN CHAU ST,BLK 07,5,H,5.1,,,,34.0,ASP
2019-07-22,VISTA,FUK WA ST,,45,D,12.0,,,,,ASP
2019-07-24,,APLIU ST,,01,R.P.,4.04,,,,,ASSIGN
2019-07-24,,APLIU ST,,01,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,,8.15,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,F.P.,4.82,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,R.P.,4.6,,,,45.0,ASSIGN
2019-07-24,,APLIU ST,,04,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,G,,30.0,,,,,ASSIGN
2019-07-24,,APLIU ST,,04,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,01,R.P.,4.04,,,,,ASSIGN
2019-07-24,,APLIU ST,,01,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,,8.15,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,,,57.5,,,,,ASSIGN
2019-07-24,,APLIU ST,,04,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,,8.15,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,F.P.,4.82,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,R.P.,4.6,,,,45.0,ASSIGN
2019-07-24,,APLIU ST,,04,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,G,,30.0,,,,,ASSIGN
2019-07-24,,APLIU ST,,G,,30.0,,,,,ASSIGN
2019-07-24,,APLIU ST,,04,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,01,R.P.,4.04,,,,,ASSIGN
2019-07-24,,APLIU ST,,01,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,,8.15,,,,,ASSIGN
